Class,AUC
287,0.9960311900047611
288,0.9923843111560201
289,0.9991075041316111
290,0.9988098679772575
291,0.9998612676666956
292,0.9919659614924501
293,0.9819030616030148
294,0.7672672412298195
295,0.9867888254167493
296,0.998084705080854
297,0.9997779242860613
298,0.9999421948611232
299,0.9998290825653293
300,0.9728658821643714
301,0.979314224146645
302,
303,1.0
304,0.9756293534495217
305,0.9996018559894634
306,0.9997928784925466
307,0.9907272165730463
308,0.9962260103318892
309,0.9991942557649839
310,0.9918318808374709
311,0.9919270727086518
312,0.9996705164221552
313,1.0
314,0.99919966285098
315,0.8631602677487601
316,0.9914679615017775
317,0.9995738639882862
318,1.0
319,0.999627192474786
320,0.9967988551199487
321,0.996378476066546
322,0.9967188719750195
323,0.9846185648092096
324,0.9999918672935738
325,
326,0.9938279375110927
327,1.0
328,0.9998588025191524
329,1.0
330,0.9985089656080215
331,0.9969405843761212
332,
333,0.9978455901468715
334,0.9946214923247899
335,0.9998890740869351
336,0.9949967500893105
337,0.9986593436417873
338,0.9876144670359246
339,0.9976861514554274
340,0.9955431099857931
341,0.9991154740018732
342,0.9915695993630249
343,0.9918926251996943
344,0.9892379118750686
345,0.9417477411858557
346,0.9930043962493383
347,0.9860413709087158
348,0.9953678383824358
349,0.9865521352100319
350,0.9966690711428152
351,0.9999287683823529
352,0.9999777943549087
353,0.9799559779595195
354,0.9974081402701573
355,0.9995429827606156
356,0.9970852397898661
357,0.9942936956175877
358,0.9968264661793389
359,0.991311412099401
360,0.9874531413674397
361,0.9991508647634924
362,
363,0.9954520701587858
364,1.0
365,1.0
366,0.9932072071413427
367,0.9955224514048043
368,0.997546125888372
369,0.9965085696118385
370,0.9999869936182021
371,0.9851637230068125
372,0.997762941125466
373,0.9989333364633868
374,1.0
375,0.9917889510746599
376,0.9926038941747498
377,0.9983868909017362
378,1.0
379,0.9992716678805535
380,0.9743415577124535
381,0.9946445412391323
382,0.9961917357667505
383,1.0
384,0.9975152907094988
385,0.9964243273066803
386,0.9952051545901843
387,0.9974498310043888
388,0.9866662759602696
389,0.9995608633372013
390,0.997148936890418
391,0.9993539267378937
392,0.9881281482808285
393,0.9960498427446388
394,0.9981863290025245
395,0.9999795583324963
396,0.996445047192227
397,0.998824323133629
398,0.9999347246367786
399,0.9974944866986177
400,0.992983564284226
401,1.0
402,0.9992811046216645
403,0.9924971259876393
404,0.9986795994622677
405,0.9998758113748428
406,0.9991359870627181
407,0.9995023176290327
408,0.9943165339052288
409,1.0
410,0.9856881779855371
411,
412,1.0
413,
414,1.0
415,0.9999913290788014
416,0.9933027902814324
417,1.0
418,1.0
419,1.0
420,
421,0.7179669481679296
422,0.9998091735479842
423,0.9981388941943176
424,0.992025501720013
425,0.9598751922062472
426,0.9950385350020704
427,0.9942470720709549
428,0.9968434271601804
429,0.9799201855647026
430,0.9983099587194342
431,0.9994402483522723
432,0.9923762583425719
433,0.9998552070739017
434,0.9847240140515183
