Class,AUC
137,0.988768424277496
138,0.9866312236254433
139,0.9927905829139254
140,0.9974533806504778
141,0.9862497324177906
142,0.9898833601099931
143,0.9863437071972211
144,0.999976638776263
145,0.9964723147259694
146,0.9802167596596978
147,1.0
148,0.9960140829919671
149,1.0
150,1.0
151,0.9940162356343931
152,0.9275201811380192
153,0.9957920570699133
154,0.9916359703571045
155,0.9869397984073776
156,0.9903643108876237
157,0.9753524392892393
158,0.9903932157733529
159,0.9977350478660608
160,0.998378565287279
161,0.9893212583469535
162,0.9923201403300721
163,0.9917136299088125
164,0.9969331235721667
165,0.9969493797294627
166,0.9998350704523058
167,0.9955510746776643
168,0.9824974343021446
169,0.9846144315702652
170,0.9824981378077191
171,0.9988207040230161
172,0.9725948869970608
173,0.9941253237747691
174,0.9966595959410813
175,0.9963873653523074
176,0.9995126741772902
177,0.9992962212080345
178,0.9987914150251171
179,0.9879220365524366
180,0.9617343125933002
181,0.9982149771575766
182,0.9988243158225858
183,0.9988938938232207
184,0.9968550029086679
185,0.9954904011244278
186,0.9946665653187392
187,0.9844996624347512
188,0.9980369215929694
189,0.9994051965688078
190,0.9998761807966735
191,0.998340374542939
192,0.9981769612035274
193,0.995961535746057
194,0.9921533748394111
195,0.9984108549024038
196,0.9983751135950707
197,0.995898398893062
198,0.9940682114498463
199,0.9765293616325554
200,0.9996782043680205
201,0.9875272362310776
202,0.9960436705156356
203,0.9992864085187737
204,0.999555734870847
205,0.9975128445984233
206,0.9980655014423893
207,0.9925625547064368
208,0.9951437062432913
209,0.9820020079356179
210,0.9991733131193286
211,0.9997103083012416
212,0.9998505118070337
213,0.9999724130320837
214,0.996474358974359
215,0.9877523436965058
216,0.9999413776931778
217,0.9999794198030887
218,0.9987392183923975
219,0.9999671786792701
220,1.0
221,0.9922228134184655
222,0.9982708364211254
223,0.9973637812945428
224,0.9968011609351121
225,0.9938469139556095
226,0.9964781525475167
227,0.9995784551038219
228,0.9995979828613746
229,0.9917077378018727
230,0.9992892437178178
231,0.9999982137594112
232,0.9999915629715697
233,0.9999208821638729
234,0.9999729342946171
235,0.995937214958954
236,0.9999922596241154
237,0.9978819243423375
238,0.9995885453339013
239,0.990500566028449
240,0.9867209806045091
241,0.9957933177385164
242,0.9975818960083744
243,0.9906733612240922
244,0.9282514522004528
245,0.9925342521946016
246,0.9972823888913854
247,
248,0.9973897070863141
249,0.9974741773437941
250,0.9953920842590307
251,0.9995534258756112
252,0.9986176993774089
253,0.9999982556161892
254,0.9991114098357246
255,0.9983922595875695
256,0.9966468215690937
257,0.9997368811147347
258,0.9995440253792532
259,0.9987326378007799
260,0.9993452910366637
261,0.9982243967105559
262,0.9948857923544769
263,0.9998995304369898
264,0.9994092743920449
265,0.9999926571503334
266,0.9999974663018142
267,0.9999718660542845
268,0.9858942116449882
269,0.9700696814154216
270,0.9846634678803603
271,0.9959030923773882
272,0.9969013174407365
273,0.9869019869019869
274,0.9956600141418309
275,0.9922549723111851
276,0.9972223323643148
277,0.9987517294199032
278,0.9967959376263875
279,0.9892393717941812
280,1.0
281,0.9996238843654639
282,0.477137372643599
283,0.9783607461458262
284,0.9959147511935817
285,0.9959431666311317
286,0.9998701998505511
287,0.9999733961690483
288,0.9965083359547027
289,
290,0.9999876932165009
291,0.961468139790274
292,
293,
294,1.0
295,0.9999796488555388
296,
297,0.978455984904422
298,0.9935998424576605
299,0.9969886299673534
